台湾直播,#genre#
BBC Earth Science,https://www.youtube.com/watch?v=KGZtDK8hZ60
Discovery,https://www.youtube.com/watch?v=OnI-uUxJZuE
Discovery,https://www.youtube.com/watch?v=ohKj2ma9mfM
Love Nature,https://www.youtube.com/watch?v=Zns4k_dICzs
Love Nature,https://www.youtube.com/watch?v=QhahoVG0BfI
Earth Planet,https://www.youtube.com/watch?v=sYod9dCf5Cw
Earth Planet,https://www.youtube.com/watch?v=QXeCPubARfo
Nat Geo Kids,https://www.youtube.com/watch?v=q5xC6wv9Ut0
Nat Geo Kids,https://www.youtube.com/watch?v=H-h657jXQyA
Nat Geo Animals,https://www.youtube.com/watch?v=J4IYwyEUwrI
Nat Geo Animals,https://www.youtube.com/watch?v=MiQe9ob9aDc
National Geographic,https://www.youtube.com/watch?v=eVty8-fUGJY
National Geographic,https://www.youtube.com/watch?v=lJOROUvD8sU
Love Nature Predators,https://www.youtube.com/watch?v=YRIkyaX2in0
Love Nature Predators,https://www.youtube.com/watch?v=7ByKk5NPsRw
Ultimate Nature Documentaries,https://www.youtube.com/watch?v=i6DH-eLlLjo
Ultimate Nature Documentaries,https://www.youtube.com/watch?v=JVXC4DrH6PA
CCTV4 中文国际,https://www.youtube.com/watch?v=SdzewdkJa-o
FRANCE 24,https://www.youtube.com/watch?v=l8PMl7tUDIE
ANN新闻,https://www.youtube.com/watch?v=coYw-eVU0Ks
TBS新闻,https://www.youtube.com/watch?v=ohI356mwBp8
NHK WORLD,https://www.youtube.com/watch?v=f0lYkdA-Gtw
ABC新闻,https://www.youtube.com/watch?v=-mvUkiILTqI
ABC7纽约,https://www.youtube.com/watch?v=VrhYz4CL70I
CBS新闻,https://www.youtube.com/watch?v=e_vEct0OMT4
FOX,https://www.youtube.com/watch?v=YDfiTGGPYCk
联合国,https://www.youtube.com/watch?v=wfAa1GiNdgM
FRANCE24,https://www.youtube.com/watch?v=Ap-UM1O9RBU
欧洲新闻,https://www.youtube.com/watch?v=pykpO5kQJ98
